transactionId,productId,transactionAmount,transactionDatetime
1,10,1000.0,2018-10-01 10:10:10
2,10,1000.0,2018-10-01 10:15:10
3,20,2000.0,2018-10-01 10:15:20
4,10,1000.0,2018-10-01 10:10:10
5,30,3000.0,2018-10-01 10:20:10
6,20,2000.0,2018-10-01 10:15:30
7,40,4000.0,2018-10-01 10:25:10
8,50,5000.0,2018-10-01 10:30:20
9,60,6000.0,2018-10-01 10:35:30
10,10,1000.0,2018-10-01 10:40:40
11,20,2000.0,2018-10-01 10:45:50
12,30,3000.0,2018-10-01 10:50:00
13,40,4000.0,2018-10-01 10:55:10
14,50,5000.0,2018-10-01 11:00:20
15,60,6000.0,2018-10-01 11:05:30
16,10,1000.0,2018-10-01 11:10:40
17,20,2000.0,2018-10-01 11:15:50
18,30,3000.0,2018-10-01 11:20:00
19,40,4000.0,2018-10-01 11:25:10
20,50,5000.0,2018-10-01 11:30:20
